"family","description"
"PF00149","Calcineurin-like phosphoesterase"
"PF00150","Cellulase (glycosyl hydrolase family 5)"
"PF00152","tRNA synthetases class II (D, K and N)"
"PF00153","Mitochondrial carrier protein"
"PF00154","RecA"
"PF00155","Aminotransferase class I and II"
"PF00156","Phosphoribosyl transferase domain"
"PF00158","Sigma54_activat"
"PF00160","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD"
"PF00161","Ribosome inactivating protein"
"PF00162","Phosphoglycerate kinase"
"PF00163","Ribosomal protein S4/S9 N-terminal domain"
"PF00164","Ribosomal protein S12/S23"
"PF00165","Bacterial regulatory helix-turn-helix proteins, AraC family"
"PF00166","Chaperonin 10 Kd subunit"
"PF00167","Fibroblast growth factor"
"PF00168","C2 domain"
"PF00169","PH domain"
"PF00170","bZIP transcription factor"
"PF00171","Aldehyde dehydrogenase family"
"PF00172","Fungal Zn(2)-Cys(6) binuclear cluster domain"
"PF00173","Cytochrome b5-like Heme/Steroid binding domain"
"PF00174","Oxidoreductase molybdopterin binding domain"
"PF00175","Oxidoreductase NAD-binding domain"
"PF00176","SNF2 family N-terminal domain"
"PF00177","Ribosomal protein S7p/S5e"
"PF00179","Ubiquitin-conjugating enzyme"
"PF00180","Isocitrate/isopropylmalate dehydrogenase"
"PF00181","Ribosomal Proteins L2, RNA binding domain"
"PF00182","Chitinase class I"
"PF00183","Hsp90 protein"
"PF00185","Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain"
"PF00186","Dihydrofolate reductase"
"PF00187","Chitin recognition protein"
"PF00188","Cysteine-rich secretory protein family"
"PF00189","Ribosomal protein S3, C-terminal domain"
"PF00190","Cupin"
"PF00191","Annexin"
"PF00193","Xlink"
"PF00194","Eukaryotic-type carbonic anhydrase"
"PF00195","Chalcone and stilbene synthases, N-terminal domain"
"PF00196","Bacterial regulatory proteins, luxR family"
"PF00197","Kunitz_legume"
"PF00198","2-oxoacid dehydrogenases acyltransferase (catalytic domain)"
"PF00199","Catalase"
"PF00200","Disintegrin"
"PF00201","UDP-glucoronosyl and UDP-glucosyl transferase"
"PF00202","Aminotransferase class-III"
"PF00203","Ribosomal protein S19"
"PF00204","DNA gyrase B"
"PF00205","Thiamine pyrophosphate enzyme, central domain"
"PF00206","Lyase"
"PF00207","Alpha-2-macroglobulin family"
"PF00208","Glutamate/Leucine/Phenylalanine/Valine dehydrogenase"
"PF00209","Sodium:neurotransmitter symporter family"
"PF00210","Ferritin-like domain"
"PF00211","Adenylate and Guanylate cyclase catalytic domain"
"PF00212","ANP"
"PF00213","ATP synthase delta (OSCP) subunit"
"PF00215","Orotidine 5'-phosphate decarboxylase / HUMPS family"
"PF00216","Bac_DNA_binding"
"PF00217","ATP:guanido phosphotransferase, C-terminal catalytic domain"
"PF00218","Indole-3-glycerol phosphate synthase"
"PF00220","Hormone_4"
"PF00221","PAL"
"PF00223","PsaA_PsaB"
"PF00224","Pyruvate kinase, barrel domain"
"PF00225","Kinesin motor domain"
"PF00226","DnaJ domain"
"PF00227","Proteasome subunit"
"PF00230","Major intrinsic protein"
"PF00231","ATP synthase"
"PF00232","Glycosyl hydrolase family 1"
"PF00233","3'5'-cyclic nucleotide phosphodiesterase"
"PF00234","Tryp_alpha_amyl"
"PF00235","Profilin"
"PF00237","Ribosomal protein L22p/L17e"
"PF00238","Ribosomal protein L14p/L23e"
"PF00239","Resolvase, N terminal domain"
"PF00240","Ubiquitin family"
"PF00241","Cofilin/tropomyosin-type actin-binding protein"
"PF00244","14-3-3 protein"
"PF00245","Alkaline phosphatase"
"PF00246","Zinc carboxypeptidase"
"PF00248","Aldo/keto reductase family"
"PF00249","Myb-like DNA-binding domain"
"PF00250","Fork head domain"
"PF00251","Glycosyl hydrolases family 32 N-terminal domain"
"PF00252","Ribosomal protein L16p/L10e"
"PF00253","Ribosomal protein S14p/S29e"
"PF00254","FKBP-type peptidyl-prolyl cis-trans isomerase"
"PF00255","Glutathione peroxidase"
"PF00256","L15"
"PF00257","Dehydrin"
"PF00258","Flavodoxin"
"PF00260","Protamine_P1"
"PF00261","Tropomyosin"
"PF00262","Calreticulin family"
"PF00264","Common central domain of tyrosinase"
"PF00265","TK"
"PF00266","Aminotransferase class-V"
"PF00267","Porin_1"
"PF00268","Ribonucleotide reductase, small chain"
"PF00270","DEAD/DEAH box helicase"
"PF00271","Helicase conserved C-terminal domain"
"PF00273","Serum_albumin"
"PF00274","Fructose-bisphosphate aldolase class-I"
"PF00275","EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)"
"PF00276","Ribosomal protein L23"
"PF00278","Pyridoxal-dependent decarboxylase, C-terminal sheet domain"
"PF00281","Ribosomal protein L5"
"PF00282","Pyridoxal-dependent decarboxylase conserved domain"
"PF00283","Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits"
"PF00284","Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit"
"PF00285","Citrate synthase"
"PF00288","GHMP kinases N terminal domain"
"PF00289","Carbamoyl-phosphate synthase L chain, N-terminal domain"
"PF00290","Tryptophan synthase alpha chain"
"PF00291","Pyridoxal-phosphate dependent enzyme"
"PF00292","'Paired box' domain"
"PF00293","NUDIX domain"
"PF00294","pfkB family carbohydrate kinase"
"PF00295","Glycosyl hydrolases family 28"
"PF00296","Luciferase-like monooxygenase"
"PF00297","Ribosomal protein L3"
"PF00298","Ribosomal protein L11, RNA binding domain"
"PF00300","Histidine phosphatase superfamily (branch 1)"
"PF00301","Rubredoxin"
"PF00302","CAT"
"PF00303","Thymidylate synthase"
"PF00304","Gamma-thionin family"
"PF00305","Lipoxygenase"
"PF00306","ATP synthase alpha/beta chain, C terminal domain"
"PF00307","Calponin homology (CH) domain"
"PF00308","Bac_DnaA"
"PF00310","Glutamine amidotransferases class-II"
"PF00311","Phosphoenolpyruvate carboxylase"
"PF00312","Ribosomal protein S15"
"PF00313","'Cold-shock' DNA-binding domain"
"PF00314","Thaumatin family"
"PF00316","Fructose-1-6-bisphosphatase"
"PF00317","Ribonucleotide reductase, all-alpha domain"
"PF00318","Ribosomal protein S2"
"PF00319","SRF-type transcription factor (DNA-binding and dimerisation domain)"
"PF00320","GATA zinc finger"
"PF00324","Amino acid permease"
"PF00325","Crp"
"PF00326","Prolyl oligopeptidase family"
"PF00327","Ribosomal protein L30p/L7e"
"PF00328","Histidine phosphatase superfamily (branch 2)"
"PF00329","Respiratory-chain NADH dehydrogenase, 30 Kd subunit"
"PF00330","Aconitase family (aconitate hydratase)"
"PF00331","Glycosyl hydrolase family 10"
"PF00332","Glycosyl hydrolases family 17"
"PF00333","Ribosomal protein S5, N-terminal domain"
"PF00334","Nucleoside diphosphate kinase"
"PF00335","Tetraspanin family"
"PF00336","DNA polymerase (viral) C-terminal domain"
"PF00337","Gal-bind_lectin"
"PF00338","Ribosomal protein S10p/S20e"
"PF00339","Arrestin (or S-antigen), N-terminal domain"
"PF00340","IL1"
"PF00342","Phosphoglucose isomerase"
"PF00343","Carbohydrate phosphorylase"
"PF00344","SecY translocase"
"PF00345","Pili_assembly_N"
"PF00346","Respiratory-chain NADH dehydrogenase, 49 Kd subunit"
"PF00347","Ribosomal protein L6"
"PF00348","Polyprenyl synthetase"
"PF00349","Hexokinase"
"PF00350","Dynamin family"
"PF00351","Biopterin-dependent aromatic amino acid hydroxylase"
"PF00352","Transcription factor TFIID (or TATA-binding protein, TBP)"
"PF00353","HemolysinCabind"
"PF00355","Rieske [2Fe-2S] domain"
"PF00356","Bacterial regulatory proteins, lacI family"
"PF00358","PTS_EIIA_1"
"PF00359","PTS_EIIA_2"
"PF00360","Phytochrome region"
"PF00361","Oxidored_q1"
"PF00364","Biotin-requiring enzyme"
"PF00365","Phosphofructokinase"
"PF00366","Ribosomal protein S17"
"PF00367","PTS_EIIB"
"PF00368","Hydroxymethylglutaryl-coenzyme A reductase"
"PF00370","FGGY family of carbohydrate kinases, N-terminal domain"
"PF00372","Hemocyanin, copper containing domain"
"PF00373","Band_41"
"PF00374","NiFeSe_Hases"
"PF00375","Sodium:dicarboxylate symporter family"
"PF00376","MerR"
"PF00377","Prion"
"PF00378","Enoyl-CoA hydratase/isomerase family"
"PF00379","Chitin_bind_4"
"PF00380","Ribosomal protein S9/S16"
"PF00381","PTS HPr component phosphorylation site"
"PF00382","Transcription factor TFIIB repeat"
"PF00383","Cytidine and deoxycytidylate deaminase zinc-binding region"
"PF00384","Molybdopterin oxidoreductase"
"PF00385","Chromo (CHRromatin Organisation MOdifier) domain"
"PF00386","C1q domain"
"PF00387","Phosphatidylinositol-specific phospholipase C, Y domain"
"PF00388","Phosphatidylinositol-specific phospholipase C, X domain"
"PF00389","D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
"PF00390","Malic enzyme, N-terminal domain"
"PF00391","PEP-utilizers"
"PF00392","GntR"
"PF00393","6-phosphogluconate dehydrogenase, C-terminal domain"
"PF00394","Multicopper oxidase"
"PF00395","S-layer homology domain"
"PF00396","Granulin"
"PF00397","WW domain"
"PF00398","Ribosomal RNA adenine dimethylase"
"PF00399","Yeast PIR protein repeat"
"PF00400","WD domain, G-beta repeat"
"PF00401","ATP-synt_DE"
"PF00402","Calponin family repeat"
"PF00403","Heavy-metal-associated domain"
"PF00404","Dockerin_1"
"PF00405","Transferrin"
"PF00406","Adenylate kinase"
"PF00407","Pathogenesis-related protein Bet v I family"
"PF00408","Phosphoglucomutase/phosphomannomutase, C-terminal domain"
"PF00410","Ribosomal protein S8"
"PF00411","Ribosomal protein S11"
"PF00412","LIM domain"
"PF00413","Peptidase_M10"
"PF00415","Regulator of chromosome condensation (RCC1) repeat"
"PF00416","Ribosomal protein S13/S18"
"PF00417","Ribosomal_S3_N"
"PF00418","Tau and MAP protein, tubulin-binding repeat"
"PF00419","Fimbrial"
"PF00420","NADH-ubiquinone oxidoreductase, chain 4L"
"PF00421","PSII"
"PF00424","REV"
"PF00425","chorismate binding enzyme"
"PF00428","60s Acidic ribosomal protein"
"PF00430","ATP-synt_B"
"PF00431","CUB"
"PF00432","Prenyltransferase and squalene oxidase repeat"
"PF00433","Protein kinase C terminal domain"
"PF00435","Spectrin repeat"
"PF00436","Single-strand binding protein family"
"PF00437","Type II/IV secretion system protein"
"PF00438","S-adenosylmethionine synthetase, N-terminal domain"
"PF00439","Bromodomain"
"PF00440","Bacterial regulatory proteins, tetR family"
"PF00441","Acyl-CoA dehydrogenase, C-terminal domain"
"PF00443","Ubiquitin carboxyl-terminal hydrolase"
"PF00444","Ribosomal protein L36"
"PF00445","Ribonuclease T2 family"
"PF00446","GnRH"
"PF00447","HSF-type DNA-binding"
"PF00448","SRP54-type protein, GTPase domain"
"PF00449","Urease alpha-subunit, N-terminal domain"
"PF00450","Serine carboxypeptidase"
"PF00451","Toxin_2"
"PF00452","Bcl-2"
"PF00453","Ribosomal_L20"
"PF00454","Phosphatidylinositol 3- and 4-kinase"
"PF00455","DeoR"
"PF00456","Transketolase, thiamine diphosphate binding domain"
"PF00457","Glycosyl hydrolases family 11"
"PF00458","WHEP-TRS"
"PF00459","Inositol monophosphatase family"
"PF00460","Flagella basal body rod protein"
"PF00462","Glutaredoxin"
"PF00463","Isocitrate lyase family"
"PF00464","Serine hydroxymethyltransferase"
"PF00465","Iron-containing alcohol dehydrogenase"
"PF00466","Ribosomal protein L10"
"PF00467","KOW motif"
"PF00468","Ribosomal protein L34"
"PF00469","F-protein"
"PF00471","Ribosomal protein L33"
"PF00472","RF-1 domain"
"PF00474","Sodium:solute symporter family"
"PF00475","Imidazoleglycerol-phosphate dehydratase"
"PF00476","DNA polymerase family A"
"PF00478","IMP dehydrogenase / GMP reductase domain"
"PF00479","Glucose-6-phosphate dehydrogenase, NAD binding domain"
"PF00480","ROK"
"PF00481","Protein phosphatase 2C"
"PF00482","GSPII_F"
"PF00483","Nucleotidyl transferase"
"PF00484","Carbonic anhydrase"
"PF00485","Phosphoribulokinase / Uridine kinase family"
"PF00486","Transcriptional regulatory protein, C terminal"
"PF00487","Fatty acid desaturase"
"PF00488","MutS domain V"
"PF00489","IL6"
"PF00490","Delta-aminolevulinic acid dehydratase"
"PF00491","Arginase family"
"PF00493","MCM2/3/5 family"
"PF00494","Squalene/phytoene synthase"
"PF00496","Bacterial extracellular solute-binding proteins, family 5 Middle"
"PF00497","Bacterial extracellular solute-binding proteins, family 3"
"PF00498","FHA domain"
"PF00499","Oxidored_q3"
"PF00501","AMP-binding enzyme"
"PF00503","G-protein alpha subunit"
"PF00505","HMG (high mobility group) box"
"PF00507","Oxidored_q4"
"PF00508","E2 (early) protein, N terminal"
"PF00509","Haemagglutinin"
"PF00510","COX3"
"PF00512","His Kinase A (phospho-acceptor) domain"
"PF00514","Armadillo/beta-catenin-like repeat"
"PF00515","Tetratricopeptide repeat"
"PF00516","GP120"
"PF00517","GP41"
"PF00518","E6"
"PF00519","Papillomavirus helicase"
"PF00520","Ion transport protein"
"PF00521","DNA gyrase/topoisomerase IV, subunit A"
"PF00522","VPR"
"PF00524","E1 Protein, N terminal domain"
"PF00526","Dicty_CTDC"
"PF00528","BPD_transp_1"
"PF00529","HlyD"
"PF00531","Death"
"PF00532","Peripla_BP_1"
"PF00533","BRCA1 C Terminus (BRCT) domain"
"PF00534","Glycosyl transferases group 1"
"PF00535","Glycosyl transferase family 2"
"PF00536","SAM domain (Sterile alpha motif)"
"PF00537","Scorpion toxin-like domain"
"PF00538","linker histone H1 and H5 family"
"PF00539","Tat"
"PF00540","gag gene protein p17 (matrix protein)"
"PF00542","Ribosomal protein L7/L12 C-terminal domain"
"PF00544","Pectate lyase"
"PF00545","ribonuclease"
"PF00547","Urease, gamma subunit"
"PF00548","3C cysteine protease (picornain 3C)"
"PF00549","CoA-ligase"
"PF00550","Phosphopantetheine attachment site"
"PF00551","Formyl transferase"
"PF00553","Cellulose binding domain"
"PF00554","Rel homology domain (RHD)"
"PF00555","Endotoxin_M"
"PF00556","LHC"
"PF00557","Metallopeptidase family M24"
"PF00558","Vpu protein"
"PF00560","Leucine Rich Repeat"
"PF00561","alpha/beta hydrolase fold"
"PF00562","RNA polymerase Rpb2, domain 6"
"PF00563","EAL domain"
"PF00564","PB1 domain"
"PF00565","Staphylococcal nuclease homologue"
"PF00566","Rab-GTPase-TBC domain"
"PF00567","Tudor domain"
"PF00568","WH1 domain"
"PF00569","Zinc finger, ZZ type"
"PF00570","HRDC domain"
"PF00571","CBS domain"
"PF00572","Ribosomal protein L13"
"PF00573","Ribosomal protein L4/L1 family"
"PF00574","Clp protease"
"PF00575","S1 RNA binding domain"
"PF00576","HIUase/Transthyretin family"
"PF00577","Usher"
"PF00578","AhpC/TSA family"
"PF00579","tRNA synthetases class I (W and Y)"
"PF00580","UvrD/REP helicase N-terminal domain"
"PF00581","Rhodanese-like domain"
"PF00582","Universal stress protein family"
"PF00583","Acetyltransferase (GNAT) family"
"PF00584","SecE/Sec61-gamma subunits of protein translocation complex"
"PF00585","C-terminal regulatory domain of Threonine dehydratase"
"PF00586","AIR synthase related protein, N-terminal domain"
"PF00587","tRNA synthetase class II core domain (G, H, P, S and T)"
"PF00588","SpoU rRNA Methylase family"
"PF00589","Integrase, catalytic core, phage"
"PF00590","Tetrapyrrole (Corrin/Porphyrin) Methylases"
"PF00591","Glycosyl transferase family, a/b domain"
"PF00593","TonB_dep_Rec"
"PF00594","Gla"
"PF00595","PDZ domain (Also known as DHR or GLGF)"
"PF00596","Class II Aldolase and Adducin N-terminal domain"
"PF00598","Flu_M1"
"PF00600","Flu_NS1"
"PF00606","Herpesvirus Glycoprotein B"
"PF00607","gag gene protein p24 (core nucleocapsid protein)"
"PF00608","Adeno_shaft"
"PF00609","Diacylglycerol kinase accessory domain"
"PF00610","Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
"PF00611","Fes/CIP4, and EFC/F-BAR homology domain"
"PF00612","IQ calmodulin-binding motif"
"PF00613","Phosphoinositide 3-kinase family, accessory domain (PIK domain)"
"PF00614","Phospholipase D Active site motif"
"PF00615","Regulator of G protein signaling domain"
"PF00616","GTPase-activator protein for Ras-like GTPase"
"PF00617","RasGEF domain"
"PF00618","RasGEF N-terminal motif"
"PF00619","CARD"
"PF00620","RhoGAP domain"
"PF00621","RhoGEF domain"
"PF00622","SPRY domain"
"PF00623","RNA polymerase Rpb1, domain 2"
"PF00624","Flocculin repeat"
"PF00625","Guanylate kinase"
"PF00626","Gelsolin repeat"
"PF00627","UBA/TS-N domain"
"PF00628","PHD-finger"
"PF00629","MAM domain"
"PF00630","Filamin"
"PF00631","GGL domain"
"PF00632","HECT-domain (ubiquitin-transferase)"
"PF00633","HHH"
"PF00634","BRCA2 repeat"
"PF00635","MSP (Major sperm protein) domain"
"PF00636","Ribonuclease III domain"
"PF00637","Region in Clathrin and VPS"
"PF00638","RanBP1 domain"
"PF00639","PPIC-type PPIASE domain"
"PF00640","PID"
"PF00641","Zn-finger in Ran binding protein and others"
"PF00642","Zinc finger C-x8-C-x5-C-x3-H type (and similar)"
"PF00643","Zinc finger, B-box"
"PF00644","Poly(ADP-ribose) polymerase catalytic domain"
"PF00645","Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region"
"PF00646","F-box domain"
"PF00647","Elongation factor 1 gamma, conserved domain"
"PF00648","Calpain family cysteine protease"
"PF00649","Copper fist DNA binding domain"
"PF00650","CRAL/TRIO domain"
"PF00651","BTB/POZ domain"
"PF00652","Ricin-type beta-trefoil lectin domain"
"PF00653","Inhibitor of Apoptosis domain"
"PF00654","Voltage gated chloride channel"
"PF00656","Caspase domain"
"PF00657","GDSL-like Lipase/Acylhydrolase"
"PF00658","Poly-adenylate binding protein, unique domain"
"PF00659","POLO_box"
"PF00660","Seripauperin and TIP1 family"
"PF00661","Viral matrix protein"
"PF00662","Oxidored_q1_N"
"PF00664","ABC transporter transmembrane region"
"PF00665","Integrase core domain"
"PF00666","Cathelicidins"
"PF00667","FAD binding domain"
"PF00668","Condensation domain"
"PF00669","Bacterial flagellin N-terminal helical region"
"PF00670","S-adenosyl-L-homocysteine hydrolase, NAD binding domain"
"PF00672","HAMP domain"
"PF00673","ribosomal L5P family C-terminus"
"PF00674","DUP"
"PF00675","Insulinase (Peptidase family M16)"
"PF00676","Dehydrogenase E1 component"
"PF00677","Lumazine binding domain"
"PF00679","Elongation factor G C-terminus"
"PF00680","RdRP_1"
"PF00681","Plectin repeat"
"PF00682","HMGL-like"
"PF00684","DnaJ central domain"
"PF00685","Sulfotransferase domain"
"PF00686","Starch binding domain"
"PF00687","Ribosomal protein L1p/L10e family"
"PF00689","Cation transporting ATPase, C-terminus"
"PF00690","Cation transporter/ATPase, N-terminus"
"PF00691","OmpA family"
"PF00692","dUTPase"
"PF00693","Herpes_TK"
"PF00694","Aconitase C-terminal domain"
"PF00696","Amino acid kinase family"
"PF00697","N-(5'phosphoribosyl)anthranilate (PRA) isomerase"
"PF00698","Acyl transferase domain"
"PF00699","Urease beta subunit"
"PF00700","Bacterial flagellin C-terminal helical region"
"PF00701","Dihydrodipicolinate synthetase family"
"PF00702","haloacid dehalogenase-like hydrolase"
"PF00703","Glycosyl hydrolases family 2"
"PF00704","Glycosyl hydrolases family 18"
"PF00705","Proliferating cell nuclear antigen, N-terminal domain"
"PF00707","Translation initiation factor IF-3, C-terminal domain"
"PF00708","Acylphosphatase"
"PF00709","Adenylosuccinate synthetase"
"PF00710","Asparaginase"
"PF00711","Defensin_beta"
"PF00712","DNA_pol3_beta"
"PF00714","IFN-gamma"
"PF00716","Assemblin (Peptidase family S21)"
"PF00717","Peptidase S24-like"
"PF00719","Inorganic pyrophosphatase"
"PF00720","Subtilisin inhibitor-like"
"PF00721","Virus coat protein (TMV like)"
"PF00722","Glycosyl hydrolases family 16"
"PF00723","Glycosyl hydrolases family 15"
"PF00724","NADH:flavin oxidoreductase / NADH oxidase family"
"PF00725","3-hydroxyacyl-CoA dehydrogenase, C-terminal domain"
"PF00728","Glycosyl hydrolase family 20, catalytic domain"
"PF00729","Viral coat protein (S domain)"
"PF00730","HhH-GPD superfamily base excision DNA repair protein"
"PF00731","AIR carboxylase"
"PF00732","GMC oxidoreductase"
"PF00733","Asparagine synthase"
"PF00734","Fungal cellulose binding domain"
"PF00735","Septin"
"PF00736","EF-1 guanine nucleotide exchange domain"
"PF00737","PsbH"
"PF00741","HMMPfam"
"PF00742","Homoserine dehydrogenase"
"PF00743","Flavin-binding monooxygenase-like"
"PF00745","GlutR_dimer"
"PF00746","Gram positive anchor"
"PF00748","Calpain inhibitor"
"PF00749","tRNA synthetases class I (E and Q), catalytic domain"
"PF00750","tRNA synthetases class I (R)"
"PF00751","DM DNA binding domain"
"PF00752","XPG N-terminal domain"
"PF00753","Metallo-beta-lactamase superfamily"
"PF00754","F5/8 type C domain"
"PF00755","Choline/Carnitine o-acyltransferase"
"PF00756","Putative esterase"
"PF00757","Furin-like"
"PF00759","Glycoside hydrolase, family 9"
"PF00762","Ferrochelatase"
"PF00763","Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain"
"PF00764","Arginosuccinate synthase"
"PF00765","Autoind_synth"
"PF00766","Electron transfer flavoprotein FAD-binding domain"
"PF00767","Potyvirus coat protein"
"PF00768","Peptidase_S11"
"PF00769","ERM"
"PF00771","FHIPEP family"
"PF00772","DnaB"
"PF00773","RNB domain"
"PF00774","Ca_channel_B"
"PF00775","Dioxygenase"
"PF00779","BTK"
"PF00780","CNH domain"
"PF00781","Diacylglycerol kinase catalytic domain"
"PF00782","Dual specificity phosphatase, catalytic domain"
"PF00784","Unconventional myosin/plant kinesin-like protein/non-motor protein conserved region MyTH4"
"PF00785","HMMPfam"
"PF00786","P21-Rho-binding domain"
"PF00787","PX domain"
"PF00788","Ras association (RalGDS/AF-6) domain"
"PF00789","UBX domain"
"PF00790","VHS domain"
"PF00792","Phosphoinositide 3-kinase C2"
"PF00793","DAHP synthetase I family"
"PF00794","PI3-kinase family, ras-binding domain"
"PF00795","Carbon-nitrogen hydrolase"
"PF00796","Photosystem I reaction centre subunit VIII"
"PF00797","N-acetyltransferase"
"PF00799","Geminivirus Rep catalytic domain"
"PF00800","Prephenate dehydratase"
"PF00801","PKD"
"PF00802","Pneumovirus attachment glycoprotein G"
"PF00804","Syntaxin"
"PF00805","Pentapeptide"
"PF00806","Pumilio-family RNA binding repeat"
"PF00807","Apidaecin"
"PF00808","Histone-like transcription factor (CBF/NF-Y) and archaeal histone"
"PF00809","Pterin binding enzyme"
"PF00810","ER lumen protein retaining receptor"
"PF00813","FliP"
"PF00814","Glycoprotease family"
"PF00815","Histidinol dehydrogenase"
"PF00816","Histone_HNS"
"PF00817","impB/mucB/samB family"
"PF00818","Ice_nucleation"
"PF00821","PEPCK"
"PF00822","PMP-22/EMP/MP20/Claudin family"
"PF00823","PPE"
"PF00825","Ribonuclease P"
"PF00826","Ribosomal_L10e"
"PF00827","Ribosomal L15"
"PF00828","Ribosomal protein L18e/L15"
"PF00829","Ribosomal_L21p"
