"X","taxon","kingdom","phylum","class","order","family","genus"
1490,"Hysterangium stoloniferum","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Hysterangium"
551,"Jimgerdemannia flammicorona","Fungi","Zygomycota",NA,"Endogonales","Endogonaceae","Jimgerdemannia"
785,"Jimgerdemannia lactiflua","Fungi","Zygomycota",NA,"Endogonales","Endogonaceae","Jimgerdemannia"
1112,"Kalaharituber pfeilii","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Kalaharituber"
63,"Laccaria amethystina","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria"
170,"Laccaria bicolor","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria"
32,"Lactarius akahatsu","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
437,"Lactarius deliciosus","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
669,"Lactarius hatsudake","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
678,"Lactarius hengduanensis","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
735,"Lactarius indigo","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
1170,"Lactarius psammicola","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
1177,"Lactarius pseudohatsudake","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
1222,"Lactarius quietus","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
1302,"Lactarius sanguifluus","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
1662,"Lactarius vividus","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius"
279,"Leucangium carthusianum","Fungi","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Leucangium"
230,"Melanogaster broomeianus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Paxillaceae","Melanogaster"
1618,"Meliniomyces variabilis","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha"
1023,"Multifurca ochricompacta","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Multifurca"
864,"Oidiodendron maius",NA,NA,NA,NA,NA,NA
19,"Paxillus adelphus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Paxillaceae","Paxillus"
65,"Paxillus ammoniavirescens","Fungi","Basidiomycota","Agaricomycetes","Boletales","Paxillaceae","Paxillus"
756,"Paxillus involutus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Paxillaceae","Paxillus"
244,"Piloderma byssinum","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma"
1034,"Piloderma olivaceum","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma"
1467,"Piloderma sphaerosporum","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma"
42,"Pisolithus albus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Pisolithus"
395,"Pisolithus croceorrhizus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Pisolithus"
876,"Pisolithus marmoratus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Pisolithus"
908,"Pisolithus microcarpus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Pisolithus"
1043,"Pisolithus orientalis","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Pisolithus"
1553,"Pisolithus thermaeus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Pisolithus"
1566,"Pisolithus tinctorius","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Pisolithus"
1284,"Ramaria rubella","Fungi","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Ramaria"
1300,"Rhizopogon salebrosus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon"
1640,"Rhizopogon vesiculosus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon"
1647,"Rhizopogon vinicolor","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon"
1667,"Rhizopogon vulgaris","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon"
222,"Russula brevipes","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
357,"Russula compacta","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
460,"Russula dissimulans","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
471,"Russula earlei","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
494,"Russula emetica","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
1024,"Russula ochroleuca","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
1295,"Russula rugulosa","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
1328,"Russula seminuda","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
1646,"Russula vinacea","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
338,"Scleroderma citrinum","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma"
1630,"Sebacina vermifera","Fungi","Basidiomycota","Agaricomycetes","Auriculariales",NA,"Serendipita"
1631,"Serendipita vermifera","Fungi","Basidiomycota","Agaricomycetes","Auriculariales",NA,"Serendipita"
956,"Sistotrema muscicola","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Sistotrema"
235,"Sphaerosporella brunnea","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Sphaerosporella"
62,"Suillus americanus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
70,"Suillus ampliporus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus"
209,"Suillus bovinus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
223,"Suillus brevipes","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
345,"Suillus clintonianus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
352,"Suillus collinitus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
384,"Suillus cothurnatus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
429,"Suillus decipiens","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
454,"Suillus discolor",NA,NA,NA,NA,NA,NA
482,"Suillus elbensis",NA,NA,NA,NA,NA,NA
597,"Suillus fuscotomentosus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
692,"Suillus hirtellus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
771,"Suillus kaibabensis","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
791,"Suillus lakei","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
844,"Suillus luteus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1018,"Suillus occidentalis","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1022,"Suillus ochraceoroseus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1066,"Suillus paluster","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus"
1131,"Suillus placidus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1134,"Suillus plorans","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1176,"Suillus pseudogranulatus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1202,"Suillus punctipes","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1204,"Suillus pungens","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1221,"Suillus quiescens","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1473,"Suillus spraguei","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1503,"Suillus subalutaceus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1504,"Suillus subaureus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1569,"Suillus tomentosus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1621,"Suillus variegatus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1656,"Suillus viscidus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus"
1674,"Suillus weaverae","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Fuscoboletinus"
206,"Terfezia boudieri","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Terfezia"
342,"Terfezia claveryi","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Terfezia"
609,"Thelephora ganbajun","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora"
1545,"Thelephora terrestris","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora"
996,"Tirmania nivea","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Tirmania"
1154,"Tricholoma populinum","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma"
706,"Trichophaea hybrida","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Trichophaea"
23,"Tuber aestivum","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber"
197,"Tuber borchii","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber"
231,"Tuber brumale","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber"
255,"Tuber canaliculatum","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber"
616,"Tuber gibbosum","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber"
733,"Tuber indicum","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber"
863,"Tuber magnatum","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber"
887,"Tuber melanosporum","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber"
894,"Tuber melosporum","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber"
901,"Tuber mesentericum","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber"
745,"Tulasnella inquilina",NA,NA,NA,NA,NA,NA
916,"Wilcoxina mikolae","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Wilcoxina"
153,"Xerocomus badius","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Imleria"
1499,"Achaetomium strumarium","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium"
1590,"Annulohypoxylon truncatum","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Annulohypoxylon"
811,"Anthostomella leucospermi","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Anthostomelloides"
1306,"Ascocoryne sarcoides","Fungi","Ascomycota","Leotiomycetes","Helotiales","Gelatinodiscaceae","Ascocoryne"
1256,"Atractiellales rhizophila",NA,NA,NA,NA,NA,NA
653,"Ceraceosorus guamensis","Fungi","Basidiomycota","Exobasidiomycetes","Ceraceosorales","Ceraceosoraceae","Ceraceosorus"
592,"Chaetomium funicola","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Dichotomopilus"
1688,"Cladophialophora yegresii","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora"
1497,"Coccomyces strobi","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae","Coccomyces"
1117,"Colletotrichum phormii","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Gloeosporium"
155,"Daldinia bambusicola","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia"
824,"Daldinia loculata","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia"
54,"Darksidea alpha","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea"
545,"Hyaloscypha finlandica","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha"
1620,"Hymenoscyphus varicosporoides","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Hymenoscyphus"
937,"Hypoxylon monticulosum","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Hypoxylon"
1144,"Hypoxylon polyporus","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Hypoxylon"
879,"Kluyveromyces marxianus","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kluyveromyces"
1118,"Lophodermium piceae","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae","Lophodermium"
1594,"Melanops tulasnei","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeria"
1264,"Metarhizium robertsii","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium"
1580,"Microdochium trichocladiopsis","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriaceae","Microdochium"
912,"Microthyrium microscopicum","Fungi","Ascomycota","Dothideomycetes","Microthyriales","Microthyriaceae","Microthyrium"
500,"Mucor endophyticus","Fungi","Zygomycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor"
1555,"Myceliophthora thermophila","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Thermothelomyces"
4,"Nemania abortiva","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania"
449,"Nemania diffusa","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania"
461,"Neonectria ditissima","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria"
1093,"Oliveonia pauxilla","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Oliveoniaceae","Oliveonia"
311,"Paraphoma chrysanthemicola","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma"
258,"Penicillium canescens","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
1236,"Penicillium raistrickii","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
1316,"Phialocephala scopiformis","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala"
332,"Phyllosticta citribraziliensis",NA,NA,NA,NA,NA,NA
149,"Pleospora avicennia",NA,NA,NA,NA,NA,NA
631,"Rhodotorula glutinis","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula"
643,"Rhodotorula graminis","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula"
379,"Rosellinia corticium","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Rosellinia"
1543,"Rostrohypoxylon terebratum","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Rostrohypoxylon"
14,"Talaromyces aculeatus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces"
1167,"Talaromyces proteolyticus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces"
627,"Thelebolus globosus","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Thelebolaceae","Thelebolus"
1546,"Thielavia terrestris","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Thermothielavioides"
1673,"Tilletiopsis washingtonensis","Fungi","Basidiomycota","Exobasidiomycetes","Entylomatales",NA,"Tilletiopsis"
127,"Trichoderma asperellum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
135,"Trichoderma atroviride","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
219,"Trichoderma brevicompactum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
608,"Trichoderma gamsii","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
1650,"Trichoderma virens","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
496,"Verruculina enalia","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Verruculina"
910,"Whalleya microplaca","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Whalleya"
111,"Xylaria arbuscula","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria"
156,"Xylaria bambusicola","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria"
414,"Xylaria curta","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria"
830,"Xylaria longipes","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria"
1065,"Xylaria palmicola","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria"
1538,"Xylaria telfairii","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria"
686,"Xylona heveae","Fungi","Ascomycota","Xylonomycetes","Xylonales","Xylonaceae","Xylona"
1623,"Zalerion varium",NA,NA,NA,NA,NA,NA
731,"Piriformospora indica","Fungi","Basidiomycota","Agaricomycetes","Auriculariales",NA,"Serendipita"
251,"Tulasnella calospora","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnella"
1223,"Ampelomyces quisqualis","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ampelomyces"
591,"Capronia fungicola","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia"
1168,"Caulochytrium protostelioides","Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Caulochytriaceae","Caulochytrium"
1126,"Chalciporus piperatus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Chalciporus"
392,"Dimargaris cristalligena","Fungi","Zygomycota",NA,"Dimargaritales","Dimargaritaceae","Dimargaris"
1675,"Escovopsis weberi","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Escovopsis"
1213,"Heterogastridium pycnidioideum","Fungi","Basidiomycota","Microbotryomycetes","Heterogastridiales","Heterogastridiaceae","Heterogastridium"
1562,"Melanospora tiffanyae","Fungi","Ascomycota","Sordariomycetes","Melanosporales","Ceratostomataceae","Melanospora"
1320,"Naohidea sebacea","Fungi","Basidiomycota","Cystobasidiomycetes","Naohideales","Naohideaceae","Naohidea"
1081,"Parasitella parasitica","Fungi","Zygomycota","Mucoromycetes","Mucorales","Mucoraceae","Parasitella"
419,"Piptocephalis cylindrospora","Fungi","Zygomycota","Zoopagomycetes","Zoopagales","Piptocephalidaceae","Piptocephalis"
52,"Rozella allomycis","Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales",NA,"Rozella"
600,"Spinellus fusiger","Fungi","Zygomycota","Mucoromycetes","Mucorales","Phycomycetaceae","Spinellus"
595,"Syncephalis fuscata","Fungi","Zygomycota","Zoopagomycetes","Zoopagales","Piptocephalidaceae","Syncephalis"
1135,"Syncephalis plumigaleata","Fungi","Zygomycota","Zoopagomycetes","Zoopagales","Piptocephalidaceae","Syncephalis"
1179,"Syncephalis pseudoplumigaleata","Fungi","Zygomycota","Zoopagomycetes","Zoopagales","Piptocephalidaceae","Syncephalis"
1466,"Thamnocephalis sphaerospora","Fungi","Zygomycota","Zoopagomycetes","Zoopagales","Helicocephalidaceae","Thamnocephalis"
36,"Tilletiopsis albescens","Fungi","Basidiomycota","Exobasidiomycetes","Robbauerales","Robbaueraceae","Robbauera"
1037,"Tolypocladium ophioglossoides","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Tolypocladium"
900,"Tremella mesenterica","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremella"
162,"Arthroderma benhamiae","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton"
50,"Aspergillus alliaceus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
148,"Aspergillus avenaceus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
193,"Aspergillus bombycis","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
211,"Aspergillus brasiliensis","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
248,"Aspergillus calidoustus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
257,"Aspergillus candidus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
305,"Aspergillus chevalieri","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
341,"Aspergillus clavatus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
383,"Aspergillus costiformis","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
388,"Aspergillus creber","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
585,"Aspergillus fumigatiaffinis","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
689,"Aspergillus hiratsukae","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
749,"Aspergillus insuetus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
807,"Aspergillus lentulus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
1000,"Aspergillus nomius","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus"
1216,"Aspergillus quadrilineatus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
1635,"Aspergillus versicolor","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
1676,"Aspergillus welwitschiae","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
1677,"Aspergillus wentii","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
159,"Beauveria bassiana","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Beauveria"
37,"Candida albicans","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida"
467,"Candida dubliniensis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida"
1047,"Candida orthopsilosis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida"
1537,"Candida tanzawaensis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,"Suhomyces"
1326,"Capronia semiimmersa","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia"
880,"Citeromyces matritensis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Citeromyces"
157,"Cladophialophora bantiana","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora"
840,"Clavispora lusitaniae","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Clavispora"
1244,"Cokeromyces recurvatus","Fungi","Zygomycota","Mucoromycetes","Mucorales","Mycotyphaceae","Cokeromyces"
71,"Cryptococcus amylolentus","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus"
416,"Cryptococcus curvatus","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon"
610,"Cryptococcus gattii","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus"
976,"Cryptococcus neoformans","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus"
522,"Cyberlindnera fabianii","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera"
762,"Cyberlindnera jadinii","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera"
517,"Cyphellophora europaea","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora"
